tracking_id	position(Oryza sativa L. ssp. Japonica, MSU Rice Genome Annotation Project Release 7)	F1	F2	R1	R2	L1	L2	S1	S2
P_XLOC_000078	chr1|+|591598-591733	144.044	160.072	134.586	583.948	213.443	306.386	183.979	460.142
P_XLOC_000079	chr1|+|595499-597873	1.93419	3.00062	3.94391	2.00868	2.67366	1.77083	9.24214	0.419558
P_XLOC_000080	chr1|+|598265-601533	6.66882	8.83421	5.90187	15.3497	12.9595	17.5669	13.7106	8.16008
P_XLOC_000081	chr1|+|612564-615650	0	0	0	0	1.15226	0.988613	96.1008	4244.13
P_XLOC_000082	chr1|+|621421-622138	0	0.139417	0	1.69918	0.22039	1.63246	0	0
P_XLOC_000083	chr1|+|624087-624613	127.414	59.8756	75.7091	25.4583	13.2828	45.2186	32.2531	41.3698
P_XLOC_000084	chr1|+|625976-627024	376.53	63.9749	151.207	11.7134	16.2406	20.2346	19.0554	21.3569
P_XLOC_000085	chr1|+|632093-632913	21.2158	4.7215	3.86229	0	0	0	10.5045	0.783079
P_XLOC_000087	chr1|+|677029-678321	0.0241414	0.0486748	29.5429	0.00868376	0.299028	0	0.0370938	0
P_XLOC_000090	chr1|+|719763-720353	14.7077	5.01974	0	0	0	0	3.79059	0
P_XLOC_000091	chr1|+|723218-726436	5.95306	4.91371	35.7787	2.82417	2.21946	2.71918	2.12136	0.797083
P_XLOC_000092	chr1|+|728870-737556	1.28968	1.86934	8.12929	11.6134	9.53417	5.85258	2.4427	0.0570843
P_XLOC_000094	chr1|+|738904-741502	2.13793	2.69663	53.9687	11.8677	11.8286	8.8705	1.41009	3.06652
P_XLOC_000095	chr1|+|745452-748945	0.939567	2.59386	1.01456	20.3375	3.19071	22.4629	2.99494	0.315625
P_XLOC_000096	chr1|+|751721-752123	0	0	0	2.4104	0.251996	1.97414	0	0
P_XLOC_000099	chr1|+|770253-773851	0.741613	0.898713	1.60462	59.3876	19.943	32.8398	2.28718	1.83253
P_XLOC_000100	chr1|+|781415-784777	0.0646477	0.437812	5.69949	145.468	19.1358	30.8679	0.292522	0.136023
P_XLOC_000103	chr1|+|796710-798598	0.959805	1.85457	2.71065	18.692	6.06798	17.6267	3.73152	0.175182
P_XLOC_000104	chr1|+|799217-799437	0	0	1.21108	9.00205	1.87227	10.398	2.42605	0
P_XLOC_000106	chr1|+|807850-811002	3.26802	2.20234	1.50753	19.9772	9.50944	15.7364	2.44283	0.432636
P_XLOC_000110	chr1|+|843530-847454	0.0114829	0.183768	0.106034	66.7815	6.60754	75.4644	1.12886	0.191362
P_XLOC_000111	chr1|+|844499-844602	0	0	0	7284.75	1851.28	2657.99	0	0
P_XLOC_000112	chr1|+|845072-845275	0	0	0	61.0916	5.9298	50.4879	0	0
P_XLOC_000114	chr1|+|855255-857950	0.12222	0.0409283	0.0389765	101.677	7.31951	60.1221	1.01295	0.253131
P_XLOC_000115	chr1|+|865966-869346	0.303659	1.10729	1.83249	40.4928	12.5312	40	1.31849	0.436688
P_XLOC_000119	chr1|+|924027-933310	2.56692	12.4351	0.0799936	77.0467	76.3597	62.9249	10.056	1.18148
P_XLOC_000120	chr1|+|928777-929488	0.123288	0.134909	0	2.53507	6.48005	1.76342	0	0
P_XLOC_000121	chr1|+|938614-939417	0.294986	0.446661	2.55815	19.8064	5.69523	28.2547	0.260232	0.46361
P_XLOC_000122	chr1|+|952460-952787	0	0	0.55428	6.51094	1.51116	2.00242	0	0
P_XLOC_000123	chr1|+|953171-953401	0	0	2.82746	9.39585	7.14071	21.5805	0	0
P_XLOC_000124	chr1|+|953553-953869	0	0.295643	0.414179	4.75624	1.49357	5.75274	0	0
P_XLOC_000125	chr1|+|954075-956817	0.292052	0.622333	3.40915	28.4537	8.09346	39.6253	0.410709	0.186882
P_XLOC_000126	chr1|+|954376-955200	0.106305	0.110135	0.435312	2.01904	1.47303	3.97252	0	0
P_XLOC_000127	chr1|+|961568-965620	0.563551	1.58093	0.0258228	40.9556	26.545	40.7808	0.519515	0.261679
P_XLOC_000128	chr1|+|971596-971866	10.41	4.54009	0	0.481143	0	0	0	2.45905
P_XLOC_000129	chr1|+|976766-980699	0.0201998	0.0214008	0	33.9119	5.76754	41.3062	0.303878	0.251349
P_XLOC_000130	chr1|+|987591-990647	0	0.0464027	0.0193824	5.85534	1.01388	5.30067	0.0466862	0.0455045
P_XLOC_000131	chr1|+|989445-989568	0	24.9409	0	113.551	0	52.2066	0	0
P_XLOC_000132	chr1|+|997963-1001100	0.685693	0.416203	1.18986	2.86547	1.23628	2.11873	0.501991	0
P_XLOC_000133	chr1|+|1007463-1012410	3.51197	3.27084	3.94242	8.64558	7.67361	6.69741	4.0146	17.3921
P_XLOC_000134	chr1|+|1008240-1008785	0.494301	0.659866	0.174046	1.2856	1.28025	1.35104	0.123635	0
P_XLOC_000135	chr1|+|1016065-1019545	184.439	241.393	242.351	54.2664	32.7039	76.8344	218.065	120.814
P_XLOC_000136	chr1|+|1019924-1020460	23.7343	13.4189	20.7244	21.5391	41.999	19.1345	12.843	13.4913
P_XLOC_000137	chr1|+|1020535-1030373	22.2348	20.5114	21.1221	33.1581	36.8303	29.4204	26.5234	36.7272
P_XLOC_000138	chr1|+|1046317-1053232	11.4562	12.2395	8.72066	1.90954	0.370508	1.22371	4.37332	0.382282
P_XLOC_000139	chr1|+|1058483-1060883	0.376644	0.232973	4.06299	1.30468	0.245953	1.25484	0.175658	0
P_XLOC_000140	chr1|+|1073971-1074420	0.382105	0.253607	0.167781	0	0.464101	0	0.339869	5.21897
P_XLOC_000141	chr1|+|1103681-1107920	28.2861	29.8669	19.9654	70.1415	57.1726	65.9529	30.5115	7.38973
P_XLOC_000142	chr1|+|1108470-1108926	0	0.327269	0	1.19319	0.24637	0.825692	0	0
P_XLOC_000143	chr1|+|1120319-1126832	1.19619	0.572823	0	0	0	0	0.0281953	0
P_XLOC_000144	chr1|+|1165737-1168427	9.95765	9.7774	13.6937	20.7828	12.0854	28.7307	7.42256	34.436
P_XLOC_000145	chr1|+|1167527-1167653	30.9502	14.8444	0	109.228	94.5122	196.231	132.558	976.258
P_XLOC_000146	chr1|+|1181158-1182803	1.8477	1.19939	20.5477	0.191761	0.283927	0.221769	4.90465	4.8057
P_XLOC_000147	chr1|+|1183394-1187326	35.7443	39.8732	47.6299	108.268	46.9604	100.595	30.655	78.1822
P_XLOC_000148	chr1|+|1187337-1188300	0.248652	0.263016	1.71906	1.80873	0.345764	2.71876	0.317946	5.31558
P_XLOC_000149	chr1|+|1214658-1216438	24.5948	13.0369	2.8027	7.52567	6.7683	15.1523	6.51024	0.331179
P_XLOC_000150	chr1|+|1232473-1237469	21.949	18.6794	16.6082	11.5319	14.5987	13.9287	27.991	23.9978
P_XLOC_000151	chr1|+|1233213-1233560	2.29468	2.18767	1.06254	2.93952	1.40266	2.73058	2.09675	8.95544
P_XLOC_000152	chr1|+|1233759-1234159	0.862229	0.920613	0.552029	0.86725	1.24922	1.25296	0.451803	8.43143
P_XLOC_000153	chr1|+|1238263-1242737	4.44572	4.75525	0.382559	0.076025	0.110755	0.109845	0.250922	0.347432
P_XLOC_000154	chr1|+|1249881-1251490	35.5273	24.5195	0.220356	2.58011	9.53806	3.15157	3.42066	0.13993
P_XLOC_000155	chr1|+|1254028-1255935	18.1883	11.6381	0.0491361	0	0	0.0823249	2.55401	0.834073
P_XLOC_000157	chr1|+|1267792-1268449	4.54322	4.4978	0.510566	0.661672	1.10948	0.970608	1.90257	2.44701
P_XLOC_000170	chr1|+|1404155-1407187	56.6185	23.739	3.16952	0.14816	0.230839	0.293713	10.536	1.58683
P_XLOC_000171	chr1|+|1413839-1419390	49.5666	33.5844	15.2964	6.99944	9.86202	7.69504	34.1325	52.1199
P_XLOC_000172	chr1|+|1421693-1428494	17.4822	15.3893	11.7359	20.9265	14.8356	21.1175	28.5422	37.8974
P_XLOC_000173	chr1|+|1433033-1436811	3.51902	2.02567	8.89905	0.206387	0.0598473	0.0372964	2.56972	0.0785036
P_XLOC_000174	chr1|+|1437132-1450473	22.1227	30.2474	10.0297	59.9201	56.5141	64.7332	38.4416	0.781304
P_XLOC_000177	chr1|+|1486400-1489155	0.209615	0.88283	3.80566	0	0	0	0.365234	0
P_XLOC_000178	chr1|+|1508235-1512806	4.35714	4.85473	1.04861	7.74931	16.5488	7.09544	2.47116	0.584277
P_XLOC_000179	chr1|+|1511620-1511968	1.62944	0.377286	0	1.46939	1.83599	0.948112	0	0
P_XLOC_000181	chr1|+|1515837-1516832	0.230073	2.4784	71.1148	8.60367	5.52958	8.90805	30.0323	79.8957
P_XLOC_000182	chr1|+|1518120-1521790	39.8224	20.0318	318.58	38.6692	84.996	40.1626	12.2395	7.31926
P_XLOC_000183	chr1|+|1534034-1539807	25.3486	1.84774	21.3582	6.85219	3.87235	6.91885	1.79193	20.4443
P_XLOC_000184	chr1|+|1566138-1569472	12.1717	18.9321	29.5111	5.80629	21.2555	6.06385	52.6291	0.465209
P_XLOC_000187	chr1|+|1597486-1605901	21.2475	20.9716	79.6177	119.605	128.648	112.589	17.8047	29.9579
P_XLOC_000189	chr1|+|1625159-1626771	4.23623	0.585272	0	0	0	0	1.7083	0.252523
P_XLOC_000191	chr1|+|1657315-1658388	0.193311	0	12.7076	0	0	0	0.823194	0
P_XLOC_000192	chr1|+|1698203-1703090	29.1093	52.8301	2.91187	0.569388	2.09354	0.506624	21.9141	2.05397
P_XLOC_000195	chr1|+|1738526-1741305	205.325	182.508	309.62	250.428	207.925	269.461	127.276	216.003
P_XLOC_000196	chr1|+|1746416-1748549	397.99	375.637	810.181	466.576	363.885	599.549	385.839	545.024
P_XLOC_000197	chr1|+|1754332-1760533	33.1651	35.8848	22.2629	37.7667	24.7551	42.0107	59.4361	30.1958
P_XLOC_000198	chr1|+|1757948-1758163	2.77034	1.68264	8.12502	14.6554	10.0148	14.8354	27.9783	64.0922
P_XLOC_000199	chr1|+|1765000-1769342	0.00485809	0.0432962	0.00595352	5.95757	0.820528	4.94452	0.101777	0.0160864
P_XLOC_000200	chr1|+|1769572-1770995	0.353236	0.701141	0.180225	2.97316	1.19726	2.12531	1.205	0.759229
P_XLOC_000201	chr1|+|1781075-1784066	7.58789	6.98922	19.4986	12.7561	12.4474	11.0393	13.7587	19.629
P_XLOC_000202	chr1|+|1813292-1813439	7.66752	8.4639	10.7581	30.6081	0	7.69098	0	0
P_XLOC_000203	chr1|+|1833543-1837766	2.70665	1.22605	3.08312	0.130246	0.0881145	0.0959765	11.5981	14.4274
P_XLOC_000204	chr1|+|1843814-1849186	72.8978	37.9485	49.4084	36.3593	25.0438	42.6216	351.092	72.383
P_XLOC_000205	chr1|+|1844543-1845060	0.0878651	0.0854739	0.232594	0.327452	0.265078	0.551794	2.37459	10.4381
P_XLOC_000206	chr1|+|1849757-1856766	10.1749	10.7666	8.83245	6.19968	5.18461	4.23055	31.8382	44.345
P_XLOC_000207	chr1|+|1857104-1858613	1.91127	0.242157	0.842675	0.0609533	0.222721	0.28044	2.48131	1.87874
P_XLOC_000208	chr1|+|1864478-1866109	0	0.103909	0.155226	0	0	0	0.106262	1.31735
P_XLOC_000209	chr1|+|1867936-1870390	4.41425	5.01207	3.85006	0.0688926	0	0	5.06211	19.4672
P_XLOC_000210	chr1|+|1876913-1879903	0.993427	1.0267	0.953433	0.711847	0.678801	0.880102	1.46359	1.25962
P_XLOC_000211	chr1|+|1888524-1892304	19.3744	33.5949	22.0687	7.3144	9.0023	6.04229	64.2823	12.2611
P_XLOC_000212	chr1|+|1902736-1905291	9.36949	6.44977	128.11	110.039	101.098	188.502	5.60167	2.76192
P_XLOC_000214	chr1|+|1928166-1930671	1.29729	2.94212	2.61763	8.68243	12.7038	8.08057	0.56417	0.263097
P_XLOC_000215	chr1|+|1932911-1933915	2.25706	0.733675	8.74281	2.63243	1.92393	2.29834	0.665815	2.77602
P_XLOC_000216	chr1|+|1934117-1935048	0.437984	0.47119	1.11509	1.04146	0.695575	1.30705	0	12.8248
P_XLOC_000217	chr1|+|1941003-1941953	481.302	224.752	126.317	168.589	102.11	346.171	68.0619	21.2945
P_XLOC_000218	chr1|+|1951928-1952771	186.231	69.032	7.48977	1.82734	4.70943	2.21662	7.94198	551.39
P_XLOC_000219	chr1|+|1957533-1961640	12.6265	11.4877	0.443509	0.143844	0.585565	0.289664	5.60598	16.4437
P_XLOC_000220	chr1|+|1969270-1969529	42.3735	45.4901	40.7384	11.2084	14.3155	14.3726	31.1793	13.1533
P_XLOC_000221	chr1|+|1969703-1970860	30.8627	33.4483	37.5161	7.93487	15.6728	8.77467	23.8908	9.84138
P_XLOC_000223	chr1|+|1984083-1986600	0.227302	0.817719	0.304693	31.5899	8.89471	30.9079	1.4499	0.292876
P_XLOC_000224	chr1|+|1988631-1997160	1.01499	0.89963	4.96083	24.3169	8.99498	20.5579	1.46317	0.173507
P_XLOC_000225	chr1|+|1991485-1991770	0	0	0	5.69118	3.02596	1.31532	0	0
P_XLOC_000226	chr1|+|1992200-1992685	0	0	0	1.21417	0.170798	0.776607	0	0
P_XLOC_000227	chr1|+|1995226-1995537	0.285687	0.299003	0	2.98305	1.65813	3.47406	0	0
P_XLOC_000228	chr1|+|1998427-2003636	1.81942	1.19694	0.594402	20.0336	7.63685	20.3917	0.456454	0.393694
P_XLOC_000229	chr1|+|2000477-2000784	0.289754	0	0	2.44937	0	2.23458	0	0
P_XLOC_000230	chr1|+|2001292-2001735	0.259707	0	0	1.52082	0.284381	0.695463	0	0
P_XLOC_000233	chr1|+|2021415-2022167	1.4233	1.78102	10.5127	7.50251	10.6552	4.92594	1.17537	0
P_XLOC_000234	chr1|+|2023879-2026177	0.0483704	0.0601364	0.230751	7.53345	2.04958	11.1014	0.625586	0
P_XLOC_000235	chr1|+|2026911-2027701	0	0	0	1.99217	0.385363	2.75486	0	0
P_XLOC_000236	chr1|+|2027924-2028500	0	0	0	0.581362	0	2.15594	0	0
P_XLOC_000237	chr1|+|2028703-2030969	0	0	0.0094357	1.18038	0.0756929	1.27276	0	0
P_XLOC_000238	chr1|+|2031161-2032254	0	0	0	1.17636	0.0862351	1.75002	0	0
P_XLOC_000239	chr1|+|2032377-2034432	0	0	0	1.33427	0.176167	1.78952	0.0118817	0
P_XLOC_000240	chr1|+|2034553-2034825	0	0	0	1.14798	1.0148	5.81819	0	0
P_XLOC_000241	chr1|+|2034958-2052707	0.11126	0.254075	2.71682	14.0014	1.7679	26.1822	0.259556	0.171122
P_XLOC_000243	chr1|+|2049608-2049938	0	0	0	1.25599	0.278888	0.89969	0	0
P_XLOC_000244	chr1|+|2053583-2057638	4.73661	9.22626	107.505	9.51117	2.98319	19.2193	7.27548	0.927989
P_XLOC_000245	chr1|+|2054480-2054683	0	2.78167	31.2906	0.483574	0	2.59141	2.57754	0
P_XLOC_000246	chr1|+|2054958-2055560	3.05967	0.191562	43.6879	1.76589	0.216294	14.0962	6.80285	1.04385
P_XLOC_000247	chr1|+|2059309-2062426	4.05659	5.15379	3.32435	13.4981	5.30251	11.5192	5.14115	6.05451
P_XLOC_000248	chr1|+|2065596-2065964	0.409996	0.469804	3.39247	0.0844144	0	0.223235	0.586281	0
P_XLOC_000250	chr1|+|2071788-2074276	4.73943	7.87112	129.692	3.5938	3.22823	3.25218	1.54671	34.6088
P_XLOC_000251	chr1|+|2080105-2081540	1.03842	0.983409	1.67593	0.0808157	0.0736876	0.0524668	0	0
P_XLOC_000252	chr1|+|2097192-2100694	0.214317	0.112937	0.603475	0	0.104356	0.086723	5.11588	141.616
P_XLOC_000253	chr1|+|2103224-2103888	0	0	0	0	0	0	0	1.97337
P_XLOC_000255	chr1|+|2120381-2122366	37.79	106.903	7.69044	0.0799984	0.811616	0.114954	256.496	0.452977
P_XLOC_000256	chr1|+|2130798-2137334	7.17131	5.85821	2.9468	0.433279	0.638614	0.397897	8.34055	0.668386
P_XLOC_000257	chr1|+|2137716-2139885	217.617	304.697	444.335	114.79	167.424	203.629	223.959	900.875
P_XLOC_000260	chr1|+|2202264-2203860	0.646405	0.192983	8.98609	2.84284	0.207297	6.24512	1.80474	1.22434
P_XLOC_000261	chr1|+|2224683-2225060	0	0	1.10197	0	0	0.377513	0	0
P_XLOC_000262	chr1|+|2245732-2250903	13.6811	14.1065	5.72	42.185	56.9822	30.8036	8.64203	3.04369
P_XLOC_000263	chr1|+|2247557-2247751	12.8394	17.3545	3.92398	42.1223	37.2056	21.6014	18.4633	0
P_XLOC_000264	chr1|+|2261353-2266908	15.1338	15.2096	10.6889	19.9114	20.6846	14.2001	15.6003	28.9633
P_XLOC_000265	chr1|+|2263913-2264106	7.08543	9.43033	0	14.9135	12.6673	20.0338	27.7576	37.758
P_XLOC_000266	chr1|+|2271163-2273955	21.4029	22.0148	7.45433	5.63957	11.789	9.58955	11.4182	26.1761
P_XLOC_000267	chr1|+|2275067-2278872	7.70511	12.8575	44.2684	11.3335	14.5194	7.15758	11.9554	1.01399
P_XLOC_000268	chr1|+|2292111-2298407	56.1131	81.3882	82.3325	170.807	216.496	247.282	38.5929	82.4368
P_XLOC_000272	chr1|+|2355453-2356052	3.05779	2.71543	0	3.17273	8.65003	5.41292	0.823372	0
P_XLOC_000277	chr1|+|2382624-2383043	1.95369	0	0	0.0617807	0.221575	0	0.214022	0
P_XLOC_000278	chr1|+|2386373-2388611	24.1275	22.158	16.4889	18.4105	16.2425	23.9991	21.1578	35.8769
P_XLOC_000279	chr1|+|2390027-2390970	3.3533	1.36734	1.3096	2.33451	5.06361	3.88263	2.69855	5.48533
P_XLOC_000281	chr1|+|2403270-2408067	64.4706	107.171	81.3549	77.532	60.1887	78.5264	103.385	307.655
P_XLOC_000282	chr1|+|2404537-2404791	3.36021	2.73415	6.14043	6.2052	7.00286	9.5254	8.20746	24.0632
P_XLOC_000283	chr1|+|2414271-2415072	2.77128	15.1974	2.71544	5.93424	4.31886	5.21392	3.05643	1.16419
P_XLOC_000284	chr1|+|2415551-2462452	10.7168	10.5502	5.29947	10.4188	6.46899	9.13863	13.8325	23.5272
P_XLOC_000286	chr1|+|2422242-2422914	1.28108	4.0825	2.69556	2.18506	2.08971	3.87748	1.00375	3.85613
P_XLOC_000288	chr1|+|2434793-2456597	24.5652	24.2076	41.9147	37.6741	32.7968	59.1009	28.6308	29.5297
P_XLOC_000289	chr1|+|2436134-2436678	1.51312	1.17876	0.608711	1.52144	1.27574	2.58342	1.16357	1.28337
P_XLOC_000291	chr1|+|2448716-2449048	0	0.635314	0	2.31809	5.99129	1.35243	1.93389	1.01722
P_XLOC_000292	chr1|+|2452552-2453586	3.79261	5.45786	9.56073	11.9932	5.93667	15.6419	0.690112	10.2144
P_XLOC_000294	chr1|+|2474485-2475235	1.78457	5.7959	1.13748	3.01029	0.856816	4.27479	3.43249	77.1717
P_XLOC_000295	chr1|+|2481189-2483606	7.99347	6.88707	8.58005	14.4594	14.8258	13.2919	5.58832	1.27661
P_XLOC_000296	chr1|+|2481991-2482533	84.5037	65.1917	3.92126	72.7116	45.6619	63.2752	40.7799	0
P_XLOC_000297	chr1|+|2487268-2487986	0.348516	2.9414	17.3282	0.539369	0.26397	0.165152	0.858931	3.89871
P_XLOC_000298	chr1|+|2488387-2491433	20.5998	20.6643	16.2703	8.65177	9.82338	10.8215	42.5623	12.2385
P_XLOC_000299	chr1|+|2488761-2489017	11.7962	13.8128	7.68925	10.3318	8.59412	19.2753	18.9999	3.64282
P_XLOC_000300	chr1|+|2489793-2490041	4.91767	3.15748	1.51928	3.77652	0.687163	8.61126	9.83217	3.64418
P_XLOC_000301	chr1|+|2500280-2501376	0	0.266937	0.276447	3.49378	4.00662	5.4525	0.2469	0.863456
P_XLOC_000302	chr1|+|2501589-2502879	1.33675	0.776577	20.1845	7.18653	3.34343	10.2092	0.358435	0.346438
P_XLOC_000304	chr1|+|2520346-2522110	0.1772	3.03198	3.01194	0.0309569	0	0	0.235374	0
P_XLOC_000310	chr1|+|2560858-2565373	47.4426	49.0666	45.2702	92.2698	64.3304	98.5465	44.032	114.874
P_XLOC_000311	chr1|+|2566796-2570732	6.25775	16.801	1.83505	0.384856	0.35173	0.196704	5.55448	3.24009
P_XLOC_000312	chr1|+|2599367-2612902	53.2606	46.0821	33.6677	129.101	116.99	91.8755	88.5785	70.353
P_XLOC_000314	chr1|+|2632554-2638081	21.6791	23.5825	11.6863	35.6103	35.108	31.7119	19.9258	12.9859
P_XLOC_000315	chr1|+|2652622-2655687	53.7002	65.5173	51.3003	32.6735	43.4502	44.5135	85.5215	90.5735
P_XLOC_000317	chr1|+|2666370-2667792	0	0.0924123	0	0.0153548	0.0540421	0.235228	1.57468	0
P_XLOC_000318	chr1|+|2674400-2675373	55.2137	68.2027	68.2703	46.8889	58.6123	58.7162	140.558	63.0696
P_XLOC_000319	chr1|+|2686729-2687700	54.4398	67.0961	58.4134	33.6538	57.8735	45.1021	177.264	57.9024
